PurchaseDate,CustomerID,Gender,MaritalStatus,Children,AnnualIncome,City,Country,ProductFamily,ProductDepartment,ProductCategory,UnitsSold,Revenue,,,
18/12/2007,7223,F,S,2,$30K - $50K,Los Angeles,USA,Food,Snack Foods,Snack Foods,5,$27.38,,,
20/12/2007,7841,M,M,5,$70K - $90K,Los Angeles,USA,Food,Produce,Vegetables,5,$14.90,,,
21/12/2007,8374,F,M,2,$50K - $70K,Bremerton,USA,Food,Snack Foods,Snack Foods,3,$5.52,,,
21/12/2007,9619,M,M,3,$30K - $50K,Portland,USA,Food,Snacks,Candy,4,$4.44,,,v
22/12/2007,1900,F,S,3,$130K - $150K,Beverly Hills,USA,Drink,Beverages,Carbonated Beverages,4,$14.00,,,
22/12/2007,6696,F,M,3,$10K - $30K,Beverly Hills,USA,Food,Deli,Side Dishes,3,$4.37,,,
23/12/2007,9673,M,S,2,$30K - $50K,Salem,USA,Food,Frozen Foods,Breakfast Foods,4,$13.78,,,
25/12/2007,354,F,M,2,$150K +,Yakima,USA,Food,Canned Foods,Canned Soup,6,$7.34,,,
25/12/2007,1293,M,M,3,$10K - $30K,Bellingham,USA,Non-Consumable,Household,Cleaning Supplies,1,$2.41,,,
25/12/2007,7938,M,S,1,$50K - $70K,San Diego,USA,Non-Consumable,Health and Hygiene,Pain Relievers,2,$8.96,,,
26/12/2007,9357,F,M,0,$30K - $50K,Beverly Hills,USA,Food,Snack Foods,Snack Foods,3,$11.82,,,
26/12/2007,3097,M,M,1,$30K - $50K,Beverly Hills,USA,Food,Baking Goods,Baking Goods,5,$14.45,,,
26/12/2007,2741,M,S,3,$70K - $90K,Bellingham,USA,Food,Canned Foods,Canned Tuna,4,$19.18,,,
26/12/2007,2032,F,M,3,$10K - $30K,Yakima,USA,Non-Consumable,Household,Plastic Products,4,$19.50,,,
27/12/2007,6651,M,S,0,$30K - $50K,Portland,USA,Food,Produce,Fruit,5,$13.06,,,
27/12/2007,5230,M,M,3,$30K - $50K,Salem,USA,Non-Consumable,Health and Hygiene,Hygiene,5,$12.42,,,
27/12/2007,6161,F,S,1,$10K - $30K,Tacoma,USA,Food,Frozen Foods,Meat,5,$17.65,,,
28/12/2007,5717,F,S,0,$30K - $50K,Los Angeles,USA,Food,Snack Foods,Snack Foods,3,$8.74,,,
28/12/2007,354,F,M,2,$150K +,Yakima,USA,Drink,Dairy,Dairy,5,$7.75,,,
28/12/2007,3458,F,S,5,$10K - $30K,San Diego,USA,Drink,Beverages,Drinks,5,$6.66,,,
29/12/2007,1906,M,M,1,$50K - $70K,Beverly Hills,USA,Non-Consumable,Periodicals,Magazines,4,$17.92,,,
29/12/2007,20,F,S,2,$10K - $30K,San Diego,USA,Food,Produce,Fruit,5,$12.64,,,
29/12/2007,9795,M,S,2,$70K - $90K,Portland,USA,Food,Snacks,Candy,5,$14.48,,,
29/12/2007,4543,F,M,4,$10K - $30K,Salem,USA,Food,Deli,Meat,4,$4.21,,,
29/12/2007,3386,F,M,4,$30K - $50K,San Diego,USA,Drink,Alcoholic Beverages,Beer and Wine,4,$14.78,,,
30/12/2007,5005,M,M,2,$30K - $50K,San Francisco,USA,Food,Produce,Fruit,2,$4.49,,,
30/12/2007,1918,F,M,0,$30K - $50K,Beverly Hills,USA,Food,Baking Goods,Baking Goods,5,$13.41,,,
30/12/2007,5801,M,S,2,$50K - $70K,San Diego,USA,Non-Consumable,Checkout,Hardware,5,$3.42,,,
30/12/2007,3196,M,S,2,$50K - $70K,Salem,USA,Food,Produce,Fruit,2,$10.80,,,
31/12/2007,9554,M,M,3,$70K - $90K,Salem,USA,Food,Deli,Meat,4,$8.64,,,
31/12/2007,2670,F,S,0,$70K - $90K,San Diego,USA,Non-Consumable,Health and Hygiene,Pain Relievers,5,$21.62,,,
31/12/2007,7902,M,M,1,$50K - $70K,San Diego,USA,Non-Consumable,Household,Paper Products,6,$8.74,,,
31/12/2007,8466,M,M,3,$10K - $30K,Tacoma,USA,Food,Seafood,Seafood,4,$16.51,,,
31/12/2007,1953,F,S,1,$70K - $90K,Beverly Hills,USA,Food,Produce,Vegetables,3,$1.43,,,
31/12/2007,7617,F,M,3,$10K - $30K,Portland,USA,Non-Consumable,Household,Electrical,4,$10.94,,,
01/01/2008,240,M,M,2,$30K - $50K,Los Angeles,USA,Food,Produce,Fruit,2,$8.42,,,
01/01/2008,6510,F,M,0,$50K - $70K,Salem,USA,Food,Produce,Vegetables,5,$7.23,,,
01/01/2008,7570,M,M,4,$70K - $90K,Salem,USA,Non-Consumable,Health and Hygiene,Bathroom Products,3,$6.07,,,
01/01/2008,4686,F,S,2,$50K - $70K,Los Angeles,USA,Non-Consumable,Household,Electrical,5,$11.90,,,
01/01/2008,6207,M,M,1,$30K - $50K,Los Angeles,USA,Drink,Dairy,Dairy,5,$13.16,,,
01/01/2008,1161,M,S,5,$70K - $90K,Seattle,USA,Food,Produce,Vegetables,5,$14.05,,,
02/01/2008,8746,F,S,3,$30K - $50K,Yakima,USA,Non-Consumable,Household,Kitchen Products,6,$13.78,,,
02/01/2008,9736,M,S,3,$70K - $90K,Seattle,USA,Food,Deli,Side Dishes,5,$26.22,,,
02/01/2008,1634,F,M,1,$10K - $30K,Bremerton,USA,Food,Snack Foods,Snack Foods,4,$8.58,,,
02/01/2008,6253,F,M,4,$30K - $50K,Seattle,USA,Food,Baked Goods,Bread,4,$15.60,,,
02/01/2008,4239,F,S,4,$50K - $70K,Tacoma,USA,Non-Consumable,Health and Hygiene,Hygiene,4,$2.39,,,
03/01/2008,6960,F,M,3,$150K +,Tacoma,USA,Non-Consumable,Household,Kitchen Products,5,$16.37,,,
